ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032944	regulation of mononuclear cell proliferation	21/225	206/18493	8.83773014006236e-14	9.42237998009725e-12	7.16321285036634e-12	CARD11/CCR2/VCAM1/CLEC4G/IL6/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	21
BP	GO:0002697	regulation of immune effector process	29/225	439/18493	1.21119127748488e-13	1.24348971155114e-11	9.45343055565197e-12	CD1C/IL7R/CCR2/CLEC4G/IL6/CRTAM/FCRL3/PTPRC/CD28/CD84/TLR4/NLRP3/NR4A3/SLAMF6/C7/SH2D1A/CR2/C1S/CD226/CD96/IL33/DNASE1L3/CCL19/IL12B/CD1E/LEP/CR1/FCER2/CD40LG	29
BP	GO:0032609	interferon-gamma production	16/225	106/18493	1.89080743789668e-13	1.87189936351771e-11	1.4230813874696e-11	CCR2/CD2/IRF8/TLR8/PDCD1LG2/TLR4/SLAMF6/ITK/TLR7/CD226/CD96/IL33/EOMES/IL12B/CD3E/SPN	16
BP	GO:0070663	regulation of leukocyte proliferation	21/225	216/18493	2.26110353198246e-13	2.16130310022599e-11	1.64309592414841e-11	CARD11/CCR2/VCAM1/CLEC4G/IL6/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	21
BP	GO:0045058	T cell selection	12/225	48/18493	3.71439258223142e-13	3.43209874598183e-11	2.60919787706221e-11	CARD11/LY9/IL6/THEMIS/PTPRC/CD28/SLAMF6/CD3G/DOCK2/IL12B/CD3E/SPN	12
BP	GO:0042098	T cell proliferation	19/225	178/18493	6.11658908603859e-13	5.46941449887064e-11	4.1580344143461e-11	PIK3CG/CARD11/CCR2/VCAM1/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NCKAP1L/CD209/DOCK2/CCL19/IL12B/PLA2G2D/LEP/CD3E/SPN/CD40LG	19
BP	GO:0001819	positive regulation of cytokine production	27/225	422/18493	1.92025169180003e-12	1.66341802802177e-10	1.26458680492883e-10	CARD11/CCR2/CD2/LY9/IRF8/IL6/TLR8/CRTAM/PTPRC/CD28/CYBB/TLR4/NLRP3/FCN1/NR4A3/CSF1R/SLAMF6/CLEC9A/TLR7/CD226/IL33/CCL19/IL12B/LEP/CD3E/SPN/CD40LG	27
BP	GO:0002706	regulation of lymphocyte mediated immunity	17/225	146/18493	2.53942225123518e-12	2.13311469103755e-10	1.62166613938527e-10	CD1C/IL7R/CLEC4G/IL6/CRTAM/PTPRC/CD28/NLRP3/SLAMF6/SH2D1A/CD226/CD96/IL12B/CD1E/LEP/CR1/FCER2	17
BP	GO:0051251	positive regulation of lymphocyte activation	24/225	333/18493	2.87614206711417e-12	2.29063936497899e-10	1.74142173945771e-10	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/IL6/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NLRP3/NCKAP1L/BTLA/CD209/CCL19/IL12B/TESPA1/LEP/CD3E/CD40LG	24
BP	GO:0042113	B cell activation	23/225	303/18493	2.89222142042802e-12	2.29063936497899e-10	1.74142173945771e-10	IL7R/MS4A1/CARD11/VCAM1/CD27/IL6/GAPT/FCRL3/PTPRC/MNDA/CD28/TLR4/CD79A/NCKAP1L/BANK1/CR2/LAX1/PRKCB/AICDA/FCRL1/DOCK11/TNFRSF13B/CD40LG	23
BP	GO:0002683	negative regulation of immune system process	27/225	437/18493	4.3364756473142e-12	3.25182463813912e-10	2.4721473857198e-10	IL7R/CLDN18/CCR2/CCL21/CLEC4G/CNR2/UBASH3A/FCRL3/PTPRC/MNDA/CD84/PDCD1LG2/TLR4/CD200R1/BANK1/RIPOR2/LAX1/CD96/LILRA4/IL33/IL12B/PLA2G2D/TNFRSF13B/CR1/GPR18/SPN/FCRLB	27
BP	GO:0002285	lymphocyte activation involved in immune response	18/225	174/18493	4.34045857183072e-12	3.25182463813912e-10	2.4721473857198e-10	CD1C/LY9/IL6/GAPT/CLEC4D/PTPRC/CD28/TLR4/NLRP3/SLAMF6/AICDA/EOMES/CCL19/IL12B/DOCK11/SPN/APBB1IP/CD40LG	18
BP	GO:0042129	regulation of T cell proliferation	17/225	153/18493	5.46919794136906e-12	3.98963597196711e-10	3.03305658687558e-10	CARD11/CCR2/VCAM1/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NCKAP1L/CD209/CCL19/IL12B/PLA2G2D/LEP/CD3E/SPN/CD40LG	17
BP	GO:0050671	positive regulation of lymphocyte proliferation	16/225	132/18493	6.1127585564644e-12	4.34476069705623e-10	3.30303444805445e-10	CARD11/CCR2/VCAM1/IL6/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/LEP/CD3E/CD40LG	16
BP	GO:0032946	positive regulation of mononuclear cell proliferation	16/225	133/18493	6.87462189718763e-12	4.76411297475103e-10	3.62184027320254e-10	CARD11/CCR2/VCAM1/IL6/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/LEP/CD3E/CD40LG	16
BP	GO:0050851	antigen receptor-mediated signaling pathway	21/225	259/18493	7.68173428040894e-12	5.19360181104722e-10	3.9483522540125e-10	GRAP2/CARD11/TRAT1/THEMIS/UBASH3A/FCRL3/PTPRC/MNDA/CD28/FYB1/CD79A/CD3G/NCKAP1L/BLK/ITK/KLHL6/PRKCB/CD226/TESPA1/PAX5/CD3E	21
BP	GO:0043368	positive T cell selection	10/225	35/18493	8.18757286175727e-12	5.4037980887598e-10	4.108150593794e-10	LY9/IL6/THEMIS/PTPRC/SLAMF6/CD3G/DOCK2/IL12B/CD3E/SPN	10
BP	GO:0042102	positive regulation of T cell proliferation	14/225	97/18493	1.19048181276607e-11	7.67445484880824e-10	5.83438087921094e-10	CARD11/CCR2/VCAM1/IL6/PTPRC/CD28/PDCD1LG2/NCKAP1L/CD209/CCL19/IL12B/LEP/CD3E/CD40LG	14
BP	GO:0070665	positive regulation of leukocyte proliferation	16/225	139/18493	1.36224187857256e-11	8.58212383500715e-10	6.52442162895281e-10	CARD11/CCR2/VCAM1/IL6/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/LEP/CD3E/CD40LG	16
BP	GO:0031349	positive regulation of defense response	26/225	427/18493	1.54180198115107e-11	9.49750020389057e-10	7.22032179243143e-10	PIK3CG/CARD11/CCR2/CLEC4C/IL6/TLR8/CLEC4D/CRTAM/FCRL3/FABP4/CD28/TLR10/TLR4/ICAM3/FCN1/SLAMF6/SH2D1A/CD209/TLR7/CLEC10A/CD226/LILRA4/IL33/IL12B/DMBT1/FGG	26
BP	GO:0046632	alpha-beta T cell differentiation	14/225	101/18493	2.09207474023418e-11	1.26070243041938e-09	9.58428748272042e-10	LY9/IL6/TNFSF8/NLRP3/SLAMF6/NCKAP1L/ITK/PRDM1/EOMES/CCL19/IL12B/PLA2G2D/GPR18/SPN	14
BP	GO:0045123	cellular extravasation	11/225	54/18493	4.09471891736061e-11	2.41501294445183e-09	1.83597475309204e-09	PIK3CG/CCR2/CCL21/VCAM1/JAML/RIPOR2/SELP/SELPLG/LEP/SPN/PRTN3	11
BP	GO:0042100	B cell proliferation	13/225	91/18493	7.51070764005757e-11	4.32452339845916e-09	3.28764936724966e-09	IL7R/MS4A1/CARD11/GAPT/FCRL3/PTPRC/MNDA/TLR4/CD79A/NCKAP1L/CR2/TNFRSF13B/CD40LG	13
BP	GO:0042108	positive regulation of cytokine biosynthetic process	11/225	57/18493	7.64435954273085e-11	4.32452339845916e-09	3.28764936724966e-09	CARD11/CCR2/TLR8/PTPRC/CD28/CYBB/TLR4/TLR7/IL12B/CD3E/SPN	11
BP	GO:0002819	regulation of adaptive immune response	16/225	157/18493	8.76766624658327e-11	4.86079416710576e-09	3.69534059487573e-09	CD1C/IL7R/CCR2/CLEC4G/IL6/PTPRC/CD28/NLRP3/CD48/CD226/IL33/CCL19/IL12B/CD1E/CR1/FCER2	16
BP	GO:0002699	positive regulation of immune effector process	18/225	209/18493	9.45640140805791e-11	5.13983229473265e-09	3.9074748439488e-09	CD1C/CCR2/IL6/CRTAM/PTPRC/CD28/CD84/TLR4/NLRP3/NR4A3/SLAMF6/SH2D1A/CD226/IL33/CCL19/IL12B/CD1E/FCER2	18
BP	GO:0045088	regulation of innate immune response	23/225	365/18493	1.25571848861494e-10	6.69394548161659e-09	5.08896440122899e-09	CARD11/CLEC4C/TLR8/CLEC4D/CRTAM/FCRL3/TLR10/TLR4/ICAM3/FCN1/SLAMF6/SH2D1A/CD209/TLR7/CLEC10A/CD226/CD96/LILRA4/IL12B/LEP/CR1/DMBT1/FGG	23
BP	GO:0032649	regulation of interferon-gamma production	13/225	95/18493	1.30976869602131e-10	6.85033740636053e-09	5.20785884694075e-09	CCR2/CD2/IRF8/TLR8/PDCD1LG2/TLR4/SLAMF6/TLR7/CD226/CD96/IL33/IL12B/CD3E	13
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	15/225	144/18493	2.53300161647501e-10	1.30027416312384e-08	9.88512521673095e-09	CD1C/IL7R/CCR2/CLEC4G/IL6/PTPRC/CD28/NLRP3/CD226/IL33/CCL19/IL12B/CD1E/CR1/FCER2	15
BP	GO:0050727	regulation of inflammatory response	24/225	425/18493	4.55356038107128e-10	2.29499443205993e-08	1.74473260916836e-08	PIK3CG/CCR2/IL6/CNR2/FABP4/ABCD2/PTPRC/CD28/TLR10/TLR4/NLRP3/MMP9/CD200R1/C7/CR2/C1S/TLR7/KRT1/IL33/DNASE1L3/IL12B/LEP/CR1/CMA1	24
BP	GO:0042089	cytokine biosynthetic process	13/225	105/18493	4.70830273102976e-10	2.33060985185973e-08	1.77180865930857e-08	CARD11/CCR2/IL6/TLR8/PTPRC/CD28/CYBB/TLR4/TLR7/IL12B/CD3E/CMA1/SPN	13
BP	GO:0042107	cytokine metabolic process	13/225	106/18493	5.30933180066513e-10	2.5820118862182e-08	1.96293301291442e-08	CARD11/CCR2/IL6/TLR8/PTPRC/CD28/CYBB/TLR4/TLR7/IL12B/CD3E/CMA1/SPN	13
BP	GO:0031341	regulation of cell killing	12/225	88/18493	7.14101971087312e-10	3.41291493767936e-08	2.59461369531179e-08	CD1C/IL7R/CRTAM/PTPRC/SLAMF6/SH2D1A/CD226/DNASE1L3/IL12B/CD1E/LEP/FCER2	12
BP	GO:0031295	T cell costimulation	10/225	54/18493	8.7234725167673e-10	4.09855352821677e-08	3.11585940741626e-08	GRAP2/CARD11/CCL21/CD5/CD28/PDCD1LG2/BTLA/CCL19/CD3E/CD40LG	10
BP	GO:0031294	lymphocyte costimulation	10/225	55/18493	1.05494855855715e-09	4.87386234053406e-08	3.7052754635639e-08	GRAP2/CARD11/CCL21/CD5/CD28/PDCD1LG2/BTLA/CCL19/CD3E/CD40LG	10
BP	GO:0045089	positive regulation of innate immune response	20/225	309/18493	1.35515623131753e-09	6.15818536592165e-08	4.68166138929716e-08	CARD11/CLEC4C/TLR8/CLEC4D/CRTAM/FCRL3/TLR10/TLR4/ICAM3/FCN1/SLAMF6/SH2D1A/CD209/TLR7/CLEC10A/CD226/LILRA4/IL12B/DMBT1/FGG	20
BP	GO:0042035	regulation of cytokine biosynthetic process	12/225	94/18493	1.55739884217381e-09	6.96307998468678e-08	5.29356957900164e-08	CARD11/CCR2/IL6/TLR8/PTPRC/CD28/CYBB/TLR4/TLR7/IL12B/CD3E/SPN	12
BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	11/225	76/18493	1.93798841873118e-09	8.52714904241717e-08	6.48262792698381e-08	CD1C/IL7R/CRTAM/PTPRC/SLAMF6/SH2D1A/CD226/DNASE1L3/IL12B/CD1E/LEP	11
BP	GO:0060326	cell chemotaxis	19/225	295/18493	3.86182167128476e-09	1.67265151137521e-07	1.27160641215659e-07	PIK3CG/CCR2/IL16/CCL21/VCAM1/CCR4/IL6/CCL11/CNR2/JAML/XCR1/CCR5/CH25H/NCKAP1L/RIPOR2/CXCR3/CCL19/GPR18/CCL23	19
BP	GO:0032729	positive regulation of interferon-gamma production	10/225	63/18493	4.23464108743335e-09	1.80591155297927e-07	1.37291521571523e-07	CCR2/CD2/IRF8/TLR8/TLR4/SLAMF6/TLR7/CD226/IL12B/CD3E	10
BP	GO:1902105	regulation of leukocyte differentiation	18/225	265/18493	4.38251801569903e-09	1.84065756659359e-07	1.3993303137846e-07	IL7R/CLDN18/CARD11/CD2/CD27/FCRL3/PTPRC/CD28/TLR4/EVI2B/NLRP3/DCSTAMP/NCKAP1L/PRDM1/CCL19/IL12B/TESPA1/CR1	18
BP	GO:0001909	leukocyte mediated cytotoxicity	12/225	105/18493	5.65943240101627e-09	2.27361545153871e-07	1.72847958304113e-07	CD1C/IL7R/CRTAM/PTPRC/SLAMF6/SH2D1A/GZMM/CD226/DNASE1L3/IL12B/CD1E/LEP	12
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	12/225	105/18493	5.65943240101627e-09	2.27361545153871e-07	1.72847958304113e-07	CD1C/IL6/CRTAM/PTPRC/CD28/NLRP3/SLAMF6/SH2D1A/CD226/IL12B/CD1E/FCER2	12
BP	GO:0072676	lymphocyte migration	12/225	105/18493	5.65943240101627e-09	2.27361545153871e-07	1.72847958304113e-07	PIK3CG/CCR2/CCL21/CCL11/GPR15/CH25H/CD200R1/RIPOR2/CXCR3/CCL19/CCL23/SPN	12
BP	GO:0001906	cell killing	14/225	158/18493	8.48223194223288e-09	3.35896384912422e-07	2.55359824787221e-07	CD1C/IL7R/CRTAM/PTPRC/SLAMF6/SH2D1A/GZMM/CD226/DNASE1L3/IL12B/LYZ/CD1E/LEP/FCER2	14
BP	GO:0030595	leukocyte chemotaxis	16/225	217/18493	1.02292984659425e-08	3.993748640506e-07	3.03618317699287e-07	PIK3CG/CCR2/IL16/CCL21/IL6/CCL11/CNR2/JAML/CCR5/CH25H/NCKAP1L/RIPOR2/CXCR3/CCL19/GPR18/CCL23	16
BP	GO:0045580	regulation of T cell differentiation	13/225	137/18493	1.27991312737239e-08	4.92766554038369e-07	3.74617848099345e-07	IL7R/CARD11/CD2/CD27/PTPRC/CD28/NLRP3/NCKAP1L/PRDM1/CCL19/IL12B/TESPA1/CR1	13
BP	GO:0050901	leukocyte tethering or rolling	7/225	25/18493	1.43437606956364e-08	5.44669926689099e-07	4.14076552453701e-07	CCR2/CCL21/VCAM1/SELP/SELPLG/LEP/SPN	7
BP	GO:0045619	regulation of lymphocyte differentiation	14/225	166/18493	1.60096838390949e-08	5.99714102729341e-07	4.55923002074937e-07	IL7R/CARD11/CD2/CD27/FCRL3/PTPRC/CD28/NLRP3/NCKAP1L/PRDM1/CCL19/IL12B/TESPA1/CR1	14
BP	GO:0001818	negative regulation of cytokine production	17/225	256/18493	1.67384660506457e-08	6.18653705231864e-07	4.7032153029323e-07	IL6/TLR8/ABCD2/PTPRC/CD84/PDCD1LG2/TLR4/NLRP3/CD200R1/NCKAP1L/BANK1/CD96/LILRA4/IL33/IL12B/GPR18/SLAMF1	17
BP	GO:1990868	response to chemokine	11/225	95/18493	2.15832349018553e-08	7.76996456466792e-07	5.9069906047183e-07	CCR2/CCL21/CCR4/CCL11/XCR1/CCR5/RIPOR2/CXCR3/ACKR1/CCL19/CCL23	11
BP	GO:1990869	cellular response to chemokine	11/225	95/18493	2.15832349018553e-08	7.76996456466792e-07	5.9069906047183e-07	CCR2/CCL21/CCR4/CCL11/XCR1/CCR5/RIPOR2/CXCR3/ACKR1/CCL19/CCL23	11
BP	GO:0050854	regulation of antigen receptor-mediated signaling pathway	9/225	57/18493	2.69792321779791e-08	9.58800405094334e-07	7.28912588668208e-07	TRAT1/UBASH3A/FCRL3/PTPRC/BLK/PRKCB/CD226/TESPA1/PAX5	9
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	11/225	100/18493	3.71194554098731e-08	1.30247000501479e-06	9.90181875157441e-07	CD1C/CCR2/IL6/PTPRC/CD28/NLRP3/CD226/CCL19/IL12B/CD1E/FCER2	11
